"id","source","pmid","doi","title","authorString","journalTitle","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate","issue","journalVolume","pmcid","versionNumber","fullTextIdList.fullTextId","bookOrReportDetails.publisher","bookOrReportDetails.yearOfPublication","tmAccessionTypeList.accessionType","dbCrossReferenceList.dbName","bookid","bookOrReportDetails.comprisingTitle","bookOrReportDetails.seriesName"
"42103553","MED","42103553","10.1016/j.lungcan.2026.109354","MORPHEUS-Lung: biomarkers and clinical response to atezolizumab + bevacizumab + stereotactic body radiotherapy in patients with metastatic non-small cell lung cancer.","Cho BC, Lim SM, Lee SH, Kim DK, Pardo N, Prizant H, Lawrence YR, Al-Sakaff N, Helms HJ, Gayevskiy V, Nabet BY, Pintoffl J, Ghiringhelli F.","Lung Cancer","2027","0169-5002; 1872-8332; ","109354","journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2026-05-13","2027-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42103518","MED","42103518","10.1016/j.landig.2026.100988","An online singing-based breathing and wellbeing programme (ENO Breathe) in people with long COVID breathlessness in the UK: a cohort study.","Philip KEJ, Owles H, McVey S, Pagnuco T, Bruce K, Warnock B, Chomacki A, Brunjes H, Mollica J, Lound A, Zumpe S, Abrahams AM, Padmanaban V, Hardy TH, Lewis A, Lalvani A, Elkin SL, Hopkinson NS.","Lancet Digit Health","2027","2589-7500","100988","journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2026-05-13","2027-03-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42102906","MED","42102906","10.1016/j.jid.2026.03.038","Comparative circadian transcriptome analysis reveals dampened and phase-advanced rhythms in sun-exposed human skin.","Saint-Antoine MM, El-Houni Z, Newton VL, Bradley EJ, Ramesh S, Hunter HJA, Bell M, Eckersley A, Sherratt MJ, Anafi RC, Meng QJ.","J Invest Dermatol","2027","0022-202x; 1523-1747; ","S0022-202X(26)01042-0","journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2026-05-13","2027-04-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41911379","MED","41911379","10.1093/jamia/ocag038","Med.ai ASK: an agentic system for biomedical question answering.","Nguyen NTH, Lituiev DS, Liu Z, Kashyap A, Jenkinson G, Kuhl K, Corrado C, Patel NM, Snigdha K, Saeedi S, Smith D, Baro N, Schultz T.","J Am Med Inform Assoc","2026","1067-5027; 1527-974x; ","1134-1145","journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2026-03-31","2026-06-01","6","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42207361","MED","42207361","10.1007/s10439-026-04204-8","Quantum Machine Learning for Biomedical Classification Problems: A Feasibility Study on Real Quantum Hardware.","Liu H, Zhang Z, Zheng K, Liang Z, Chen CS, Carothers C, Hahn J.","Ann Biomed Eng","2026","0090-6964; 1573-9686; ",NA,"journal article","N","N","N","N","N","N",0,"Y","N","N","N","N","2026-05-29","2026-05-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42095793","MED","42095793","10.1016/j.gim.2026.102560","Evidence-based multidisciplinary model of care for newborn screening in spinal muscular atrophy.","Kariyawasam DS, Meagher CE, Kay A, Cairns A, Siu C, Wedlake C, Lau C, Miller C, Clark D, Webster D, Mas E, Yiu EM, Tolich F, Moore F, Crisp G, O'Grady G, Sampaio H, Pitt J, Cini J, Bhattacharya K, Greed L, Burrows L, Kava M, De Hora M, Greenslade M, Heather N, Heller R, Allcock R, Greaves R, Divanisova S, Carrivick S, Wotton T, Ware T, Wilgen U, Wiley V, Farrar MA.","Genet Med","2027","1098-3600; 1530-0366; ","102560","journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2026-05-13","2027-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42190790","MED","42190790","10.1016/j.canlet.2026.218623","SLC30A7 phosphorylation by ERK1 promotes esophageal squamous cell carcinoma tumorigenesis via activating MMP2/3/9-β-catenin signaling.","Yang L, Yao N, Zhou L, Zhou R, Wang J, Yang R, Fan Y, Nie W, Liu K, Jiang W, Kim DJ, Dong Z, Li X.","Cancer Lett","2026","0304-3835; 1872-7980; ","218623","journal article","N","N","N","N","N","N",0,"N","N","N","N","N","2026-05-28","2026-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42118629","MED","42118629","10.1109/jbhi.2026.3692696","Biomedical Knowledge Graph Alignment with GPT-Augmented Similarity Feature Construction via Tree-based Particle Swarm Optimization and Adaptive Fitness Optimization.","Xue X, Li X, Dhumras H.","IEEE J Biomed Health Inform","2026","2168-2194; 2168-2208; ",NA,"journal article","N","N","N","N","N","N",0,"N","N","N","N","N","2026-05-14","2026-05-12",NA,"PP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42174348","MED","42174348","10.1007/s11095-026-04121-4","Biomedical Large Language Models and Prompt Engineering for Causality Assessment of Individual Case Safety Reports in Pharmacovigilance.","Heckmann NS, Papoutsi DG, Barbieri MA, Battini V, Mølgaard SN, Schmidt SØ, Melskens L, Sessa M.","Pharm Res","2026","0724-8741; 1573-904x; ",NA,"journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2026-05-23","2026-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42201116","MED","42201116","10.1093/infdis/jiag246","Development of a Phase 1 Cryptosporidiosis Controlled Human Challenge Model in Healthy Volunteers Using Current Good Manufacturing Practice Cryptosporidium Parvum Oocysts and Conducted Under an Investigational New Drug Application.","Stuart BD, Stevenson K, Tillmann HC, Middleton C, Nguyen A, Jumani RS, Zhao X, Blais J, Braud-Perez S, Zhang Y, Etse J, Arora K, Aziz N, Mohamed AI, Diagana TT, Manjunatha UH.","J Infect Dis","2026","0022-1899; 1537-6613; ","jiag246","journal article","N","N","N","N","N","N",0,"N","N","N","N","N","2026-05-28","2026-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41974624","MED","41974624","10.1071/sh25159","Untransmittable but unequal? Sexual wellbeing disparities in the context of PrEP and U=U.","Norman T, Melendez-Torres GJ, Murphy D, Bourne A, Sombrea D, Power J.","Sex Health","2026","1448-5028; 1449-8987; ","SH25159","journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2026-04-14","2026-06-01","3","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
